type,freq_tar,range_tar,likelihood,effect,word,category,subcategory
wrong,82213,733,1174.661,0.001,WRONG,ADJECTIVES,ADJ.ALL
slap,81568,720,1165.443,0.001,SLAP,ADVERBS,ADV.ALL
guess,81087,733,1158.57,0.001,GUESS,NOUNS,NOUN.COGNITION
oof,80806,730,1154.554,0.001,,,
anything,80022,732,1143.35,0.001,ANYTHING,NOUNS,NOUN.TOPS
imma,79785,729,1139.963,0.001,,,
dead,79613,730,1137.505,0.001,DEAD,ADJECTIVES,ADJ.ALL
seen,79351,729,1133.761,0.001,,,
last,78880,734,1127.03,0.001,LAST,ADJECTIVES,ADJ.ALL
night,78740,730,1125.03,0.001,NIGHT,NOUNS,NOUN.PERSON
since,78034,731,1114.941,0.001,,,
sn,77853,729,1112.354,0.001,SN,NOUNS,NOUN.SUBSTANCE
cuz,77600,733,1108.738,0.001,,,
used,77535,731,1107.81,0.001,USED,ADJECTIVES,ADJ.ALL
hmm,77458,732,1106.709,0.001,,,
uh,77187,730,1102.837,0.001,,,
ahead,76720,719,1096.163,0.001,AHEAD,ADJECTIVES,ADJ.ALL
real,76698,731,1095.849,0.001,REAL,ADJECTIVES,ADJ.ALL
put,76326,732,1090.532,0.001,PUT,NOUNS,NOUN.ACT
leave,76054,730,1086.646,0.001,LEAVE,NOUNS,NOUN.ACT
isnt,76011,731,1086.031,0.001,,,
keep,75903,733,1084.488,0.001,KEEP,NOUNS,NOUN.ARTIFACT
banned,75871,727,1084.03,0.001,BANNED,ADJECTIVES,ADJ.ALL
song,75733,728,1082.058,0.001,SONG,NOUNS,NOUN.ACT
ive,75703,728,1081.63,0.001,,,
li,75669,627,1081.144,0.001,LI,ADJECTIVES,ADJ.ALL
great,74798,732,1068.697,0.001,GREAT,ADJECTIVES,ADJ.ALL
year,74468,730,1063.981,0.001,YEAR,NOUNS,NOUN.GROUP
cat,74352,726,1062.323,0.001,CAT,NOUNS,NOUN.ACT
happy,74351,733,1062.309,0.001,HAPPY,ADJECTIVES,ADJ.ALL
lot,73980,733,1057.008,0.001,LOT,NOUNS,NOUN.ARTIFACT
dn,72623,730,1037.616,0.001,,,
gn,72135,728,1030.642,0.001,,,
find,71546,733,1022.225,0.001,FIND,NOUNS,NOUN.ACT
hear,71498,731,1021.539,0.001,HEAR,VERBS,VERB.COGNITION
music,71401,728,1020.153,0.001,MUSIC,NOUNS,NOUN.ACT
nothing,71183,733,1017.038,0.001,NOTHING,ADVERBS,ADV.ALL
gigi,71044,168,1015.052,0.001,,,
alright,70457,731,1006.664,0.001,ALRIGHT,ADJECTIVES,ADJ.ALL
left,70242,732,1003.591,0.001,LEFT,ADJECTIVES,ADJ.ALL
road,69503,702,993.031,0.001,ROAD,ADJECTIVES,ADJ.ALL
sound,69384,728,991.33,0.001,SOUND,ADJECTIVES,ADJ.ALL
word,68595,727,980.056,0.001,WORD,NOUNS,NOUN.COMMUNICATION
every,68379,732,976.969,0.001,EVERY,ADJECTIVES,ADJ.ALL
